"","X","Station","Date","Temp","Sal","Score"
"1",10,"WJ018.00","28-Jun-10",20.01,16.02,1700
"2",63,"WJ018.00","3-Jan-95",-1.05,31,1100
"3",74,"WJ016.00","27-May-14",12,28,1080
"4",78,"WJ024.00","26-May-15",14,30,1000
"5",82,"WJ016.00","27-Sep-16",24,32,920
"6",83,"WJ018.20","28-Jun-10",20,22,920
"7",85,"WJ017.50","15-Jun-09",15,22.02,840
"8",111,"WJ018.00","2-Aug-06",30.3,1.5,460
"9",143,"WJ018.00","29-Nov-94",1,12.01,460
"10",174,"WJ017.80","15-Jun-09",15,24,280
"11",175,"WJ018.20","15-Jun-09",15,26,280
"12",177,"WJ019.00","22-Aug-16",25,30.3,240
"13",183,"WJ024.00","12-Jul-06",23.05,30,240
"14",188,"WJ018.00","29-Nov-05",5,26,240
"15",208,"WJ024.00","6-Aug-03",18,30.45,240
"16",213,"WJ018.00","13-Jun-02",15,20,240
"17",276,"WJ018.00","8-Jan-95",0,5,240
"18",278,"WJ018.00","28-Dec-94",2,32,240
"19",289,"WJ024.00","28-Jul-92",20,32,240
"20",290,"WJ019.00","9-Jun-92",16,31,240
"21",294,"WJ022.00","23-May-91",9,31,240
"22",309,"WJ018.90","22-Aug-16",21,30,200
"23",326,"WJ018.00","12-Jul-06",26,26,150
"24",344,"WJ018.00","5-Nov-92",12,30,150
"26",358,"WJ018.90","15-Jun-09",15,28,140
"27",363,"WJ019.00","17-Nov-08",7,25,134
"28",367,"WJ018.60","15-Jun-09",15,28,126
"29",371,"WJ018.60","17-Nov-08",6,22,122
"30",374,"WJ018.00","15-Jun-09",15,26,120
"31",378,"WJ018.20","16-May-11",10,26,116
"32",395,"WJ016.00","6-Jan-14",0,31,100
"33",400,"WJ018.90","17-Nov-08",7,26,100
"34",412,"WJ016.00","29-Jun-16",20,30,94
"35",415,"WJ016.00","29-May-14",13,28,94
"36",416,"WJ018.20","17-Nov-08",7,26,94
"37",551,"WJ018.00","23-Jan-96",0,9,93
"38",569,"WJ018.00","17-Jan-95",1,17,93
"39",571,"WJ019.00","3-Jan-95",-2,31,93
"40",572,"WJ021.00","29-Nov-94",3,28,93
"41",573,"WJ024.00","29-Nov-94",3,32,93
"42",584,"WJ016.00","27-Dec-93",0,31,93
"43",598,"WJ021.00","9-Jun-92",15,30,93
"44",612,"WJ018.90","22-May-13",11,28,90
"45",614,"WJ018.60","22-Aug-16",25,30,88
"46",623,"WJ017.80","22-Aug-16",25,30,84
"47",628,"WJ018.20","26-May-15",16,30,82
"48",646,"WJ017.50","5-Dec-07",0,30,76
"49",685,"WJ017.80","18-Jul-17",19,32,68
"50",690,"WJ019.00","15-Dec-15",8,30,66
"51",702,"WJ017.80","1-Sep-09",20,28,64
"52",710,"WJ017.80","16-May-11",10,26,62
"53",712,"WJ018.00","8-Jun-10",15,25,62
"54",729,"WJ018.60","17-Oct-11",13,26,56
"55",730,"WJ017.50","16-May-11",10,26,56
"56",732,"WJ017.80","17-Nov-08",7,28,56
"57",742,"WJ018.00","17-May-17",19,26,52
"58",764,"WJ018.00","17-Nov-08",7,26,50
"59",769,"WJ018.20","22-Aug-16",23,30,48
"60",792,"WJ017.00","5-Jan-09",2,32,44
"61",796,"WJ019.00","12-Jul-06",26,28,43
"62",800,"WJ019.00","26-Apr-06",6,32,43
"63",806,"WJ016.00","29-Nov-05",5,30,43
"64",813,"WJ024.00","16-Aug-05",18,30,43
"65",823,"WJ024.00","13-Oct-04",12,30,43
"66",835,"WJ019.00","6-Aug-03",18,30,43
"67",836,"WJ021.00","6-Aug-03",18,30,43
"68",839,"WJ018.00","23-Jul-03",20,31,43
"69",852,"WJ016.00","13-Jun-02",14,31,43
"75",1000,"WJ018.00","24-Sep-96",14,32,43
"76",1019,"WJ018.00","19-May-96",13,25,43
"77",1021,"WJ016.00","19-Dec-95",0,33,43
"80",1026,"WJ018.00","13-Nov-95",6,22,43
"81",1038,"WJ018.00","19-Jul-95",17,29,43
"82",1045,"WJ024.00","18-Jun-95",20,31,43
"83",1053,"WJ019.00","8-Jan-95",-1,29,43
"84",1054,"WJ017.00","28-Dec-94",1,32,43
"85",1061,"WJ019.00","28-Sep-94",15,31,43
"86",1076,"WJ024.00","22-Aug-93",19,32,43
"87",1101,"WJ022.00","9-Jun-92",15,30,43
"88",1135,"WJ018.00","31-Aug-09",20,20,42
"89",1172,"WJ018.90","21-Sep-16",23,32,36
"90",1181,"WJ017.50","28-Jun-10",20,28,36
"91",1188,"WJ018.00","16-May-11",10,27,35
"92",1189,"WJ017.80","14-Jul-10",23,30,35
"93",1196,"WJ018.00","18-Jul-17",20,32,33
"94",1203,"WJ017.80","5-Dec-07",-6,30,33
"95",1208,"WJ018.60","9-Mar-08",2,22,32
"96",1212,"WJ017.80","15-Dec-15",6,30,31
"97",1231,"WJ016.00","19-Jun-16",21,30,29
"98",1234,"WJ018.20","22-May-13",11,28,29
"99",1235,"WJ018.60","1-Aug-12",20,28,29
"100",1236,"WJ018.20","17-Oct-11",13,28,29
"101",1247,"WJ024.00","22-Aug-16",22,30,28
"102",1248,"WJ018.00","17-Oct-11",13,26,28
"103",1252,"WJ018.00","9-Mar-08",2,24,28
"104",1277,"WJ018.60","18-Jul-17",19,32,25
"105",1278,"WJ017.80","27-Sep-16",24,32,25
"106",1289,"WJ017.50","17-Nov-08",8,27,25
"107",1290,"WJ017.00","6-Jun-07",18,28,25
"108",1302,"WJ017.00","29-Dec-15",1,29,24
"109",1304,"WJ019.00","14-Apr-15",5,26,24
"110",1312,"WJ016.00","18-Apr-14",3,26,24
"111",1320,"WJ018.90","17-Oct-11",12,28,24
"112",1323,"WJ018.00","29-Jun-10",22,25,24
"113",1327,"WJ017.00","15-Jun-09",15,28,24
"114",1330,"WJ017.00","17-Nov-08",9,28,24
"115",1378,"WJ018.00","6-Aug-03",18,31,23
"117",1406,"WJ021.00","27-Jun-02",16,29,23
"118",1409,"WJ024.00","13-Jun-02",14,32,23
